Nr. 34/W4-1: Course Schedule (https://leetcode.com/problems/course-schedule),https://leetcode.com/problems/course-schedule/solutions,"Medium,Graph,30 mins"
Nr. 35/W4-2: Implement Trie (Prefix Tree) (https://leetcode.com/problems/implement-trie-prefix-tree),https://leetcode.com/problems/implement-trie-prefix-tree/solutions,"Medium,Trie,35 mins"
Nr. 36/W4-3: Coin Change (https://leetcode.com/problems/coin-change),https://leetcode.com/problems/coin-change/solutions,"Medium,Dynamic Programming,25 mins"
Nr. 37/W4-4: Product of Array Except Self (https://leetcode.com/problems/product-of-array-except-self),https://leetcode.com/problems/product-of-array-except-self/solutions,"Medium,Array,30 mins"
Nr. 38/W4-5: Min Stack (https://leetcode.com/problems/min-stack),https://leetcode.com/problems/min-stack/solutions,"Medium,Stack,20 mins"
Nr. 39/W4-6: Validate Binary Search Tree (https://leetcode.com/problems/validate-binary-search-tree),https://leetcode.com/problems/validate-binary-search-tree/solutions,"Medium,Binary Search Tree,20 mins"
Nr. 40/W4-7: Number of Islands (https://leetcode.com/problems/number-of-islands),https://leetcode.com/problems/number-of-islands/solutions,"Medium,Graph,25 mins"
Nr. 41/W4-8: Rotting Oranges (https://leetcode.com/problems/rotting-oranges),https://leetcode.com/problems/rotting-oranges/solutions,"Medium,Graph,30 mins"
Nr. 42/W5-1: Search in Rotated Sorted Array (https://leetcode.com/problems/search-in-rotated-sorted-array),https://leetcode.com/problems/search-in-rotated-sorted-array/solutions,"Medium,Binary Search,30 mins"
Nr. 43/W5-2: Combination Sum (https://leetcode.com/problems/combination-sum),https://leetcode.com/problems/combination-sum/solutions,"Medium,Array,30 mins"
Nr. 44/W5-3: Permutations (https://leetcode.com/problems/permutations),https://leetcode.com/problems/permutations/solutions,"Medium,Recursion,30 mins"
Nr. 45/W5-4: Merge Intervals (https://leetcode.com/problems/merge-intervals),https://leetcode.com/problems/merge-intervals/solutions,"Medium,Array,30 mins"
Nr. 46/W5-5: Lowest Common Ancestor of a Binary Tree (https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree),https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/solutions,"Medium,Binary Tree,25 mins"
Nr. 47/W5-6: Time Based Key-Value Store (https://leetcode.com/problems/time-based-key-value-store),https://leetcode.com/problems/time-based-key-value-store/solutions,"Medium,Binary Search,35 mins"
Nr. 48/W5-7: Accounts Merge (https://leetcode.com/problems/accounts-merge),https://leetcode.com/problems/accounts-merge/solutions,"Medium,Graph,30 mins"
Nr. 49/W5-8: Sort Colors (https://leetcode.com/problems/sort-colors),https://leetcode.com/problems/sort-colors/solutions,"Medium,Array,25 mins"
Nr. 50/W6-1: Word Break (https://leetcode.com/problems/word-break),https://leetcode.com/problems/word-break/solutions,"Medium,Trie,30 mins"
Nr. 51/W6-2: Partition Equal Subset Sum (https://leetcode.com/problems/partition-equal-subset-sum),https://leetcode.com/problems/partition-equal-subset-sum/solutions,"Medium,Dynamic Programming,30 mins"
Nr. 52/W6-3: String to Integer (atoi) (https://leetcode.com/problems/string-to-integer-atoi),https://leetcode.com/problems/string-to-integer-atoi/solutions,"Medium,String,25 mins"
Nr. 53/W6-4: Spiral Matrix (https://leetcode.com/problems/spiral-matrix),https://leetcode.com/problems/spiral-matrix/solutions,"Medium,Matrix,25 mins"
Nr. 54/W6-5: Subsets (https://leetcode.com/problems/subsets),https://leetcode.com/problems/subsets/solutions,"Medium,Recursion,30 mins"
Nr. 55/W6-6: Binary Tree Right Side View (https://leetcode.com/problems/binary-tree-right-side-view),https://leetcode.com/problems/binary-tree-right-side-view/solutions,"Medium,Binary Tree,20 mins"
Nr. 56/W6-7: Longest Palindromic Substring (https://leetcode.com/problems/longest-palindromic-substring),https://leetcode.com/problems/longest-palindromic-substring/solutions,"Medium,String,25 mins"
Nr. 57/W6-8: Unique Paths (https://leetcode.com/problems/unique-paths),https://leetcode.com/problems/unique-paths/solutions,"Medium,Dynamic Programming,20 mins"
Nr. 58/W6-9: Construct Binary Tree from Preorder and Inorder Traversal (https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal),https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/solutions,"Medium,Binary Tree,25 mins"
Nr. 59/W7-1: Container With Most Water (https://leetcode.com/problems/container-with-most-water),https://leetcode.com/problems/container-with-most-water/solutions,"Medium,Array,35 mins"
Nr. 60/W7-2: Letter Combinations of a Phone Number (https://leetcode.com/problems/letter-combinations-of-a-phone-number),https://leetcode.com/problems/letter-combinations-of-a-phone-number/solutions,"Medium,Recursion,30 mins"
Nr. 61/W7-3: Word Search (https://leetcode.com/problems/word-search),https://leetcode.com/problems/word-search/solutions,"Medium,Graph,30 mins"
Nr. 62/W7-4: Find All Anagrams in a String (https://leetcode.com/problems/find-all-anagrams-in-a-string),https://leetcode.com/problems/find-all-anagrams-in-a-string/solutions,"Medium,String,30 mins"
Nr. 63/W7-5: Minimum Height Trees (https://leetcode.com/problems/minimum-height-trees),https://leetcode.com/problems/minimum-height-trees/solutions,"Medium,Graph,30 mins"
Nr. 64/W7-6: Task Scheduler (https://leetcode.com/problems/task-scheduler),https://leetcode.com/problems/task-scheduler/solutions,"Medium,Heap,35 mins"
Nr. 65/W7-7: LRU Cache (https://leetcode.com/problems/lru-cache),https://leetcode.com/problems/lru-cache/solutions,"Medium,Linked List,30 mins"
Nr. 66/W8-1: Kth Smallest Element in a BST (https://leetcode.com/problems/kth-smallest-element-in-a-bst),https://leetcode.com/problems/kth-smallest-element-in-a-bst/solutions,"Medium,Binary Search Tree,25 mins"
Nr. 67/W8-2: Minimum Window Substring (https://leetcode.com/problems/minimum-window-substring),https://leetcode.com/problems/minimum-window-substring/solutions,"Hard,String,30 mins"
Nr. 68/W8-3: Serialize and Deserialize Binary Tree (https://leetcode.com/problems/serialize-and-deserialize-binary-tree),https://leetcode.com/problems/serialize-and-deserialize-binary-tree/solutions,"Hard,Binary Tree,40 mins"
Nr. 69/W8-4: Trapping Rain Water (https://leetcode.com/problems/trapping-rain-water),https://leetcode.com/problems/trapping-rain-water/solutions,"Hard,Stack,35 mins"
Nr. 70/W8-5: Find Median from Data Stream (https://leetcode.com/problems/find-median-from-data-stream),https://leetcode.com/problems/find-median-from-data-stream/solutions,"Hard,Heap,30 mins"
Nr. 71/W8-6: Word Ladder (https://leetcode.com/problems/word-ladder),https://leetcode.com/problems/word-ladder/solutions,"Hard,Graph,45 mins"
Nr. 72/W8-7: Basic Calculator (https://leetcode.com/problems/basic-calculator),https://leetcode.com/problems/basic-calculator/solutions,"Hard,Stack,40 mins"
Nr. 73/W8-8: Maximum Profit in Job Scheduling (https://leetcode.com/problems/maximum-profit-in-job-scheduling),https://leetcode.com/problems/maximum-profit-in-job-scheduling/solutions,"Hard,Binary Search,45 mins"
Nr. 74/W8-9: Merge k Sorted Lists (https://leetcode.com/problems/merge-k-sorted-lists),https://leetcode.com/problems/merge-k-sorted-lists/solutions,"Hard,Heap,30 mins"
Nr. 75/W8-10: Largest Rectangle in Histogram (https://leetcode.com/problems/largest-rectangle-in-histogram),https://leetcode.com/problems/largest-rectangle-in-histogram/solutions,"Hard,Stack,35 mins"
